FACILITY,TOTAL REVENUE,Branch
KOTOKU MEDICAL CENTER,538.77,MALLAM WHOLESALE
DORMANSEAN PHARMACY,538.48,DOME WHOLESALE
RABBITO CLINIC,534.75,ABEKA WHOLESALE
POPE CHEMICALS,534.60,OKAISHIE WHOLESALE
ACTS PHARMACY,534.40,REPUBLIC WHOLESALE
OK HOR CHEMICAL SHOP,531.50,OFANKOR WHOLESALE
COMMUNITY LIFE PHARMACY,531.28,ABEKA WHOLESALE
ADEPA PHARMACY,531.26,OKAISHIE WHOLESALE
SIGMA PHARMACY,530.34,OKAISHIE WHOLESALE
EWIM POLYCLINIC - CAPE COAST,530.00,MALLAM WHOLESALE
HEALTHWISE MEDICAL SERVICES LTD,530.00,ASHAIMAN WHOLESALE
JULIMED PHARMACY,529.41,OKAISHIE WHOLESALE
JOYCE CHEMICAL SHOP,529.11,TANTRA HILL WHOLESALE
DESTINY HERBAL SHOP,528.00,OFANKOR WHOLESALE
MERCY CHEMICAL MAMPROBI,528.00,TANTRA HILL WHOLESALE
LEONOR'S CHEMICAL SHOP,527.98,OKAISHIE WHOLESALE
CHANCO CHEMISTS,527.72,OKAISHIE WHOLESALE
LOVE HILL MEDICAL CENTER,526.00,OKAISHIE WHOLESALE
R CHARISMA PHARMACY,525.63,OFANKOR WHOLESALE
C AND J HOSPITAL,525.00,OKAISHIE WHOLESALE
KROBEA PHARMACY,524.24,ABEKA WHOLESALE
MAVIS BOATENG CHEMICAL SHOP,523.80,KORLE-BU WHOLESALE
SIAW-LARBI HOSPITAL,523.80,KUMASI WHOLESALE
DANKWA PLATINUM PHARMACY,522.08,PATASE WHOLESALE
CHRIST FOR YOUTH INTERNATIONAL,522.00,DOME WHOLESALE
PAKS HOSPITAL-KRONUM,522.00,KUMASI WHOLESALE
OAKBRIDGE MEDICAL CENTER,521.89,DOME WHOLESALE
MARTHA MIRIAM CHEMICAL,521.78,DANSOMAN MARKET WHOLESALE
FLEXSTA PHARMACY,520.00,OKAISHIE WHOLESALE
YIM PHARMACY,520.00,NANAKROM WHOLESALE
KADMAT HERBAL,519.37,MALLAM WHOLESALE
KUBUSSTYLE PHARMACY,518.70,MALLAM WHOLESALE
EUNICE OSEI CHEMICAL SHOP,518.60,OKAISHIE WHOLESALE
E.B. CHEMICALS-OHWIM,518.55,KUMASI WHOLESALE
PROMISELAND CHEMICAL SHOP,516.30,TANTRA HILL WHOLESALE
EDDIES HERBAL SHOP,516.00,AKUKOR FOTO WHOLESALE
THERESA AMPEA CHEMICAL SHOP,515.06,OFANKOR WHOLESALE
PHARMACY DIRECT,514.00,OKAISHIE WHOLESALE
ROYAL CARE COSMETICS,513.84,MALLAM WHOLESALE
RONEL PHARMACY,513.64,DANSOMAN MARKET WHOLESALE
NEO-DENK PHARMACY,512.00,TANTRA HILL WHOLESALE
MEDI DIRECT PHARMACY,511.31,DANSOMAN MARKET WHOLESALE
ISHMAEL T. CHEMICAL,510.21,KORLE-BU WHOLESALE
JOS PHARMACY,510.00,KASOA WHOLESALE
KIKBAK CHEMICAL,509.99,OKAISHIE WHOLESALE
SAMARITAN PHARMACY,508.60,OFANKOR WHOLESALE
NOBLE CHEMICAL SHOP,508.00,OFANKOR WHOLESALE
LIBERTY MEDICAL LAB,505.84,DOME WHOLESALE
MARK CHEMICALS,505.50,TANTRA HILL WHOLESALE
OKANTA MEDICAL CENTER,505.00,ASHAIMAN WHOLESALE
PRIMA PHARMACY,504.53,NANAKROM WHOLESALE
DIAGNOPHARMA LTD,504.00,KORLE-BU WHOLESALE
ESHUN CHRISTIANA CHEMICAL SHOP,503.02,REPUBLIC WHOLESALE
FRESH SPRING PHARMACY,502.80,DOME WHOLESALE
LINK PREPARATORY SCHOOL,501.84,DANSOMAN MARKET WHOLESALE
SAMPHARM  PHARMACY,501.60,OSU WHOLESALE
BENGALI HOSPITAL,500.00,KORLE-BU WHOLESALE
SENA SIDE PHARMACY,500.00,DOME WHOLESALE
ST THOMAS HOSPITAL,500.00,MALLAM WHOLESALE
TIMAY PHARMACY,500.00,KUMASI WHOLESALE
TALENTED ROYALS INT. SCHOOL - NEW WEIJA,499.19,MALLAM WHOLESALE
SIX CEES PHARMACY,499.16,DANSOMAN MARKET WHOLESALE
MEDIMEX PHARMACY,498.80,KORLE-BU WHOLESALE
BLESS CHEMICAL,498.28,TANTRA HILL WHOLESALE
PRISKONE CHEMICAL SHOP,497.78,ABEKA WHOLESALE
MC DANIYELS VENTURES,496.45,DOME WHOLESALE
COSCHARIS,494.20,OKAISHIE WHOLESALE
ABYMIC PHARMACY,494.00,KORLE-BU WHOLESALE
GREEN HAND CLINIC,493.30,KORLE-BU WHOLESALE
KELVIN CHEMIST,490.71,OKAISHIE WHOLESALE
BOB FARMS,490.00,NANAKROM WHOLESALE
VAFY PHARMACY LTD,490.00,ABEKA WHOLESALE
CARP PHARMACY,489.77,ABEKA WHOLESALE
HEALTH AID PHARMACY,489.51,OKAISHIE WHOLESALE
HEALTH HAUS HOLISTIC CLINIC,489.00,OSU WHOLESALE
PATRICIA APPIAH CHEMICAL,488.65,OKAISHIE WHOLESALE
BRIGHT AID PHARMACY,488.60,OKAISHIE WHOLESALE
GEOTINA PHARMACY,487.00,MALLAM WHOLESALE
PHARMTAB PHARMACY,486.94,OKAISHIE WHOLESALE
ASUAKLO CHIP COMP.,486.00,OKAISHIE WHOLESALE
KLAD PHARMACY,486.00,OFANKOR WHOLESALE
JESSY VENTURES,485.73,MALLAM WHOLESALE
RAYMOND OVER-THE-COUNTER MED SHOP,485.16,DANSOMAN MARKET WHOLESALE
SINA EYE OPTICALS,484.20,OKAISHIE WHOLESALE
EDDIES HERBAL SHOP,482.20,OKAISHIE WHOLESALE
EBENEZER ASEIDU CHEMICAL,480.08,OFANKOR WHOLESALE
CHRISTY CHEMICALS,480.00,OFANKOR WHOLESALE
MOUNT SINAI MEDICAL CENTRE,480.00,TANTRA HILL WHOLESALE
SKY CHEMIST,480.00,KORLE-BU WHOLESALE
KOFFY CHEMICAL,479.80,KORLE-BU WHOLESALE
SILOAM MISSION HOSPITAL,478.90,PATASE WHOLESALE
SNOWSEA GHANA LTD,478.19,ASHAIMAN WHOLESALE
VALUE HEALTH PHARMACY,476.20,AKUKOR FOTO WHOLESALE
GREENFORT,476.00,TANTRA HILL WHOLESALE
PHARMALOT PHARMACY,475.22,TANTRA HILL WHOLESALE
SEAAG HEALTH SERVICES,474.22,ASHAIMAN WHOLESALE
SSB CHEMICALS,474.10,MALLAM WHOLESALE
SURE SAVE PHARMACY,474.00,PATASE WHOLESALE
OSOFO LAMPTEY SHOP,472.30,DOME WHOLESALE
CONRYSS CHEMICAL SHOP,472.00,KORLE-BU WHOLESALE
PSALMIST MEDICAL CENTRE,471.15,KORLE-BU WHOLESALE
SANDY CHEMICAL,471.00,MALLAM WHOLESALE
BODAK SKB PHARMACY,470.00,OKAISHIE WHOLESALE
MINA CHEMICALS,469.26,DANSOMAN MARKET WHOLESALE
B. BONSU CHEMICAL,468.39,DANSOMAN MARKET WHOLESALE
EDRON PHARMACY,468.00,NANAKROM WHOLESALE
CLASSFAM PHARMACY,467.08,TANTRA HILL WHOLESALE
ALEX CHEMICAL,467.07,NANAKROM WHOLESALE
JOE PHARM PHARMACEUTICALS,466.48,ABEKA WHOLESALE
TROPICAL CHEMIST,464.10,PATASE WHOLESALE
FAITH CLINIC,463.89,DOME WHOLESALE
EASTWING CLINIC LIMITED,462.20,ASHAIMAN WHOLESALE
ROSE CHEMICAL SHOP,460.29,ABEKA WHOLESALE
MILE 7 PHARMACY,460.00,OKAISHIE WHOLESALE
SNA PHARMACY,460.00,TANTRA HILL WHOLESALE
HALIMATU CHEMICAL,459.39,KORLE-BU WHOLESALE
NAASKA PHARMACY,459.32,DOME WHOLESALE
PEPS PHARMACY,459.22,OKAISHIE WHOLESALE
PALEM PHARMACY,459.00,OFANKOR WHOLESALE
MENZBEK AFRICA PHARMACY,458.53,MALLAM WHOLESALE
LIFE DOOR PHARMACY,457.80,ABEKA WHOLESALE
IFC GIVERS,456.96,TANTRA HILL WHOLESALE
WILER PHARMACY,456.20,ABEKA WHOLESALE
EMMANUEL AMANKWAH CHEMICAL,456.00,OKAISHIE WHOLESALE
EDRON PHARMACY,454.97,DANSOMAN MARKET WHOLESALE
LILY PHARMACY,454.97,OKAISHIE WHOLESALE
MEDREAL AID LIMITED,454.80,KORLE-BU WHOLESALE
BASELINE PHARMACY LTD,452.10,OKAISHIE WHOLESALE
MIAMI COMMUNITY CLINIC,452.00,MALLAM WHOLESALE
BENALICE PHARMACY,451.74,DOME WHOLESALE
TOTT & SONS,450.92,TANTRA HILL WHOLESALE
ACCRA VETERINARY LABORATORY,450.00,OKAISHIE WHOLESALE
D C PHARMACY- TAMALE,450.00,OKAISHIE WHOLESALE
DARKWA MEMORIAL CLINIC,450.00,KORLE-BU WHOLESALE
GLORIA CHEMICALS,449.83,MALLAM WHOLESALE
RANDAN CHEMIST LTD,448.80,AKUKOR FOTO WHOLESALE
BILLBOARD PHARMACY,448.50,KORLE-BU WHOLESALE
HUTCH PHARMA LTD,446.52,ASHAIMAN WHOLESALE
BERNICE LCS,445.99,OSU WHOLESALE
NETWORKING FOR HOPE,445.50,KORLE-BU WHOLESALE
EL - SHADDAI CLINIC,444.35,OKAISHIE WHOLESALE
GRAPHIC CLINIC,444.35,OKAISHIE WHOLESALE
GILO,444.02,ABEKA WHOLESALE
DIAMK PHARMACY,444.00,MALLAM WHOLESALE
THIRD GATE PHARMACY,444.00,OSU WHOLESALE
GOD'S TIME CHEMICALS,443.26,OFANKOR WHOLESALE
MEDSAFE PHARMACY,443.26,KORLE-BU WHOLESALE
PERFECT EYE CARE CENTRE,443.26,KASOA WHOLESALE
POSHBLOOM PHARMACY,443.26,OKAISHIE WHOLESALE
SAQS PHARMACY LTD-RETAIL,441.40,KUMASI WHOLESALE
IDIS CHEMICALS,441.34,ABEKA WHOLESALE
SERGEN PHARMACY,441.00,KORLE-BU WHOLESALE
AKORFA CHEMICAL SHOP,440.00,OKAISHIE WHOLESALE
BEACON PHARMACY,439.12,OSU WHOLESALE
BENETTE CHEMICAL,438.60,OKAISHIE WHOLESALE
ELFEY CHEMICAL SHOP,438.60,DOME WHOLESALE
ALSA HEALTH CLINIC,438.48,MALLAM WHOLESALE
EMMANUEL AGYEKUM CHEMICAL,438.00,DANSOMAN MARKET WHOLESALE
DIVINE HEALTHCARE,436.00,KASOA WHOLESALE
NOBLES STRENGTH PHARMACY,436.00,OFANKOR WHOLESALE
KATAMASO POLYCLINIC,435.28,NANAKROM WHOLESALE
BREAD OF LIFE PHARMACY,433.00,OKAISHIE WHOLESALE
DREWS PHARMACY,432.00,DOME WHOLESALE
RAYSS PHARMACY,432.00,KORLE-BU WHOLESALE
BERNICE LCS,431.89,OKAISHIE WHOLESALE
KINAPHARMA LIMITED,430.40,ABEKA WHOLESALE
A K ARHIN CHEMICAL SHOP,430.08,MALLAM WHOLESALE
KWAKU AFRIYIE CHEMICAL SHOP,430.00,ABEKA WHOLESALE
ROMPART CHEMICAL SHOP,428.93,MALLAM WHOLESALE
GYNCHRIS PHARMACY,428.76,OFANKOR WHOLESALE
PARADISE CHEMICAL SHOP,427.76,MALLAM WHOLESALE
EMRET PHARMACY,427.20,DOME WHOLESALE
LAUSKI PHARMACY,427.10,REPUBLIC WHOLESALE
REGINA CHEMICALS,427.10,OKAISHIE WHOLESALE
GOD BEST PHAMACY,426.96,OKAISHIE WHOLESALE
NICODOH PHARMACY,426.44,TANTRA HILL WHOLESALE
B-SODODZI CHEMICAL,426.04,TANTRA HILL WHOLESALE
FRANK ADDO HERBAL CLINIC,425.00,OFANKOR WHOLESALE
OYARIFA HEALTH CLINIC,425.00,NANAKROM WHOLESALE
REGIMANUEL CONCRETE PRODUCTS LIMITED,425.00,MALLAM WHOLESALE
NAHYI CHEMICAL,424.82,MALLAM WHOLESALE
LYDWORD PHARMACY,424.51,ABEKA WHOLESALE
ROYAL MEDICAL AGENCY CLINIC,423.80,KORLE-BU WHOLESALE
ISECORM MEDICAL CENTRE,423.48,OFANKOR WHOLESALE
ONYAME ADOM CHEMICAL SHOP,422.28,OFANKOR WHOLESALE
SENES PHARMACY,421.83,ASHAIMAN WHOLESALE
ABLEKUMA NORTH MUNIPAL ASSEMBLY (VETERINARY DEPT),420.75,NANAKROM WHOLESALE
MARY CHEMICALS,420.10,DANSOMAN MARKET WHOLESALE
SUNTRESO GOVERNMENT HOSPITAL-PHARMACY UNIT,420.00,KUMASI WHOLESALE
MARK OWARE CHEMICAL,419.85,MALLAM WHOLESALE
KN PHARMACY LTD,418.25,KORLE-BU WHOLESALE
CHRISTY CHEMICALS,418.01,ABEKA WHOLESALE
ASHMOKO ENT.,417.70,OKAISHIE WHOLESALE
MEDRX CHEMIST,416.48,OSU WHOLESALE
SWEET  BUBBLY-BEE,416.41,DOME WHOLESALE
HILL VIEW CHEMICAL SHOP,415.80,OFANKOR WHOLESALE
ORLEANS CHEMICAL,415.80,MALLAM WHOLESALE
ASSEMBLIES OF GOD STUDENTS ASSOCIATION,415.36,KORLE-BU WHOLESALE
BROADSPECTRUM  LIMITED,415.36,MALLAM WHOLESALE
TENMAA TRINITY PHARMACY LTD,415.00,OKAISHIE WHOLESALE
Y & B MEDICARE,415.00,KORLE-BU WHOLESALE
ACE TRADE SHOP,414.80,AKUKOR FOTO WHOLESALE
NII MAG PHARMACY,414.24,ABEKA WHOLESALE
ZASE CHEMIST,414.22,KORLE-BU WHOLESALE
JENNISCO CHEMICAL,414.15,ABEKA WHOLESALE
RHEMA RAPHA MEDICAL CENTER,414.00,OKAISHIE WHOLESALE
ADEPHARMA LTD,413.60,OKAISHIE WHOLESALE
CHEMFLO CHEMICAL SHOP,413.60,MALLAM WHOLESALE
PRISCILLA CHEMICALS,412.80,ABEKA WHOLESALE
NAA DZAMAA CHEMICAL SHOP,412.64,DANSOMAN MARKET WHOLESALE
MENJES CHEMICAL,412.51,OKAISHIE WHOLESALE
COCOA CLINIC,412.00,MALLAM WHOLESALE
EM.KOSAH PHARMACY LTD,412.00,OFANKOR WHOLESALE
SODINEL ENTERPRISE,409.28,MALLAM WHOLESALE
COGHAN CHEMICALS,408.77,MALLAM WHOLESALE
LYKAL PHARMACY,408.10,PATASE WHOLESALE
ALL SAINT CATHOLIC CHURCH,408.00,OSU WHOLESALE
KOSMAN CHEMICALS,408.00,MALLAM WHOLESALE
AUGUSTINA AYISIBEA CHEMICAL,407.15,KORLE-BU WHOLESALE
ST JOHN OF GOD HOSPITAL AMRAHIA,405.00,KORLE-BU WHOLESALE
GB PHARMA,404.40,OKAISHIE WHOLESALE
CHRISPOD HOSPITAL AND DIAGNOSTIC CENTER,403.95,TANTRA HILL WHOLESALE
MOUNTAIN TOP PHARMACY LTD,403.75,MALLAM WHOLESALE
ATTU CLINIC,402.56,ABEKA WHOLESALE
PERFECT DOSE CHEMICAL SHOP,401.10,AKUKOR FOTO WHOLESALE
JOYCELYN CHEMICALS,400.50,ABEKA WHOLESALE
PRO HEALTH PHARMACY,400.44,AKUKOR FOTO WHOLESALE
HIS MERCY CHEMICAL,400.40,ABEKA WHOLESALE
MAYTON PHARMACY LIMITED,400.38,REPUBLIC WHOLESALE
ALFAT CHEMIST,400.00,KORLE-BU WHOLESALE
DAISY PHARMACY,400.00,OKAISHIE WHOLESALE
DELMARK PHARMACY LTD.,400.00,OKAISHIE WHOLESALE
ANN'S CHEMICAL SHOP,397.58,OKAISHIE WHOLESALE
ACTS PHARMACY,396.88,OKAISHIE WHOLESALE
RIGHT PHARMACY,396.40,TANTRA HILL WHOLESALE
FAITH CLINIC,395.33,TANTRA HILL WHOLESALE
FENING CLINIC,395.00,KORLE-BU WHOLESALE
"ROYAL TRIANGLE MEDICAL CENTRE, DOBRO",395.00,KORLE-BU WHOLESALE
SAKENA OVER THE COUNTER MEDICAL SHOP,395.00,TANTRA HILL WHOLESALE
MEDLIFE PHARMACY,393.83,NANAKROM WHOLESALE
LIFE  MORALS FOUNDATION,393.59,KORLE-BU WHOLESALE
HAMMS PHARMACY,393.30,MALLAM WHOLESALE
I'S AND J'S PHARMACY LTD,393.21,KASOA WHOLESALE
MARGARETE CHEMICAL,393.01,ABEKA WHOLESALE
ZINOMA PHARMACY,392.82,DOME WHOLESALE
BENJAMIN RICHTER,392.46,ABEKA WHOLESALE
MR TONY HBL-M-SHOP,392.40,DANSOMAN MARKET WHOLESALE
NOT I BUT CHRIST CHEMICAL SHOP,392.00,KORLE-BU WHOLESALE
VINE CHRISTIAN SCHOOL(VCS),391.00,OKAISHIE WHOLESALE
POULTICE PHARMACY,390.50,MALLAM WHOLESALE
JOY -KLINK PHARMACY,390.49,DOME WHOLESALE
HOLY HILLS CHEMICAL,390.23,KASOA WHOLESALE
IVY PREPRAH,390.00,OKAISHIE WHOLESALE
KATH-PSYCHIATRIC UNIT,390.00,KUMASI WHOLESALE
REHOBOTH PHARMACY,390.00,AKUKOR FOTO WHOLESALE
"AHMADIYYA MUSLIM HOSPITAL, DABOASE",389.48,OKAISHIE WHOLESALE
NIRA CHEMICAL,388.74,TANTRA HILL WHOLESALE
ZION HILLS PHARMACY,388.50,MALLAM WHOLESALE
KIDER PHARMACY,388.00,OKAISHIE WHOLESALE
MAYSON PHARMACEUTICALS LTD,388.00,OKAISHIE WHOLESALE
"ROYAL TRIANGLE MEDICAL CENTRE, DOBRO",386.00,DOME WHOLESALE
GODWIN KOFI KOOMSON CHEMICAL,385.07,ABEKA WHOLESALE
AMASS SURGICAL-OKAISHIE,385.00,KORLE-BU WHOLESALE
CARINSTIC LDT,385.00,TANTRA HILL WHOLESALE
MARANATHA CHEMICALS,385.00,OKAISHIE WHOLESALE
PRIMECARE MEDICAL CENTRE,385.00,TANTRA HILL WHOLESALE
ANAASONS PHARMACY,384.00,DOME WHOLESALE
FOCUS HEALTH REMEDIES CHEMICAL SHOP,382.59,OFANKOR WHOLESALE
Q - BEN PHARMACY,381.90,OKAISHIE WHOLESALE
GOD IS GREAT CHEMICAL,381.80,NANAKROM WHOLESALE
PRICHA CHEMICAL,380.60,KORLE-BU WHOLESALE
JESSY VENTURES,380.31,OKAISHIE WHOLESALE
HILLS PHARMACY (WHOLESALE),380.20,DANSOMAN MARKET WHOLESALE
ADA EAST DIST HOSP,380.00,KORLE-BU WHOLESALE
AXIS PHARMACY LTD,380.00,OSU WHOLESALE
CHRISTIAN MEDICAL CENTER & LAB SERVICES,380.00,OSU WHOLESALE
GHANA POST CLINIC,380.00,OKAISHIE WHOLESALE
MEDAID CHEMIST,380.00,NANAKROM WHOLESALE
QUEENS' HOSPITAL &  MATERNITY,380.00,KUMASI WHOLESALE
OPHELIA CHEMICAL,379.30,OKAISHIE WHOLESALE
J Y BOTEY CHEMICAL SHOP,378.64,ABEKA WHOLESALE
POLICE HOSPITAL MAIN PHARMACY,378.60,OSU WHOLESALE
SNA PHARMACY,378.50,OSU WHOLESALE
SSB CHEMICALS,378.48,OKAISHIE WHOLESALE
MAGMAY CHEMICAL,378.27,KORLE-BU WHOLESALE
2PL PHARMACY,378.00,OKAISHIE WHOLESALE
JOVENA CHEMICAL,377.06,OKAISHIE WHOLESALE
GILEAD MEDICAL CENTRE,376.94,OSU WHOLESALE
GANESH MEDICAL CENTRE,376.40,OKAISHIE WHOLESALE
MCMAN HEALTH SHOP,376.26,DOME WHOLESALE
EKANEM  CHEMICALS,375.26,MALLAM WHOLESALE
QUEEN'S CHEMICAL,374.12,MALLAM WHOLESALE
BB LICENSED OTC,372.33,KORLE-BU WHOLESALE
ADOM CHEMICALS,372.31,ABEKA WHOLESALE
SSB CHEMICALS,370.42,DANSOMAN MARKET WHOLESALE
GOIL STC,369.68,AKUKOR FOTO WHOLESALE
TINA CHEMICAL SHOP,369.40,ABEKA WHOLESALE
ALL SMILE DENTAL CLINIC,368.77,DANSOMAN MARKET WHOLESALE
RITA CHEMICAL,368.07,DANSOMAN MARKET WHOLESALE
SIBAKON HOSPITAL,367.50,DOME WHOLESALE
WINIFRED CHEMICAL SHOP,365.78,ABEKA WHOLESALE
JOEPHIL PHARMACY,365.20,ABEKA WHOLESALE
MIFAK VOCATIONAL CENTRE,365.20,KORLE-BU WHOLESALE
ANN-CARL VENTURES,365.00,KORLE-BU WHOLESALE
C KOTOKA CHEMICAL SHOP,365.00,TANTRA HILL WHOLESALE
KLAS PHARMACEUTICAL CO LTD,365.00,OKAISHIE WHOLESALE
PETARVITA CHEMICAL SHOP,365.00,DOME WHOLESALE
ADWOA BOATENMAA MEMORIAL CLINIC,364.90,KORLE-BU WHOLESALE
JUDITH CHEMICAL,364.10,REPUBLIC WHOLESALE
GILEAD PHARMACY,364.00,OSU WHOLESALE
ASHTEE CHEMIST,363.20,MALLAM WHOLESALE
FIAVI PHARMACY,363.00,OKAISHIE WHOLESALE
GIDIMAX PHARMACEUTICAL LTD,363.00,OKAISHIE WHOLESALE
NAFELIA CHEMICALS,361.05,DANSOMAN MARKET WHOLESALE
PHARMRITE PHARMACY-OYIBI,361.00,DOME WHOLESALE
DORA NORTEY CHEMICALS,360.92,OKAISHIE WHOLESALE
ADOM SUMMIT PHARMACY,360.84,OKAISHIE WHOLESALE
THE MEDI POINT PHARMACY,360.54,OSU WHOLESALE
AMAZING PHARMACY,360.00,OKAISHIE WHOLESALE
EMELDA CHEMICAL,360.00,NANAKROM WHOLESALE
FOUNDATION PHARMACY,360.00,OKAISHIE WHOLESALE
MELAND PHARMACY,360.00,KORLE-BU WHOLESALE
MISSION CLINIC,360.00,ABEKA WHOLESALE
PROJECT NYAME NSA,360.00,DOME WHOLESALE
WENCOL PHARMACY,360.00,KORLE-BU WHOLESALE
ADEPA PHARMACY,359.44,MALLAM WHOLESALE
C A C CHURCH,359.44,OKAISHIE WHOLESALE
CARDINAL CHEMISTS,359.44,DOME WHOLESALE
DKD PHARMACY,359.44,PATASE WHOLESALE
MERCY CHEMICAL MAMPROBI,359.32,OKAISHIE WHOLESALE
JOHNICE  HERBAL,358.51,ABEKA WHOLESALE
NEIGHBOR PHARMACY,357.82,DANSOMAN MARKET WHOLESALE
SETHINA CHEMICALS,357.61,KASOA WHOLESALE
MORAN CHEMICAL SHOP,355.99,KASOA WHOLESALE
YCA CHEMIST,352.05,KASOA WHOLESALE
HALIMATU CHEMICAL,351.13,ABEKA WHOLESALE
EDRON PHARMACY,350.00,OSU WHOLESALE
ST. JOHN OF GOD HOSPITAL -OSEI KOJOKROM,350.00,KUMASI WHOLESALE
RITA CHEMICAL,349.40,ABEKA WHOLESALE
IMPACT CHEMICAL,346.78,ABEKA WHOLESALE
SDA HOSPITAL-GBAWE,345.86,DOME WHOLESALE
NKWANKWANUA HEALT CENTRE,345.74,KUMASI WHOLESALE
MT. OLIVET METH. ACADEMY CLINIC,345.60,MALLAM WHOLESALE
MARY DE ROSE PHARMACY,345.54,OKAISHIE WHOLESALE
ERNEST CHEMIST LTD,343.20,OKAISHIE WHOLESALE
FRED JANE CHEMICAL,342.88,DANSOMAN MARKET WHOLESALE
PRIME PROCURE,342.00,OKAISHIE WHOLESALE
PAUL K ASANTE CHEMICAL SHOP,341.21,ABEKA WHOLESALE
AYILIN SERVICES,340.00,OSU WHOLESALE
CITYCARE PHARMACY,340.00,KORLE-BU WHOLESALE
FAVOUR GOD CHEMICALS,340.00,REPUBLIC WHOLESALE
GA NORTH MUNICIPAL HOSPITAL,340.00,TANTRA HILL WHOLESALE
AFRAH INTERNATIONAL HOSPITAL,339.50,OKAISHIE WHOLESALE
FOUNTAIN KIDS CHEMICALS,339.00,OKAISHIE WHOLESALE
VALUE HEALTH PHARMACY,338.70,OSU WHOLESALE
LAVELCHI PHARMACY,336.78,OFANKOR WHOLESALE
JIREH HOMECARE SERVICE,336.33,KASOA WHOLESALE
LIFE MATTER PHARMACY,336.05,OFANKOR WHOLESALE
DAELYN PHARMACY,336.00,ABEKA WHOLESALE
TRINGO-DOBRO NSWAWAM,335.50,REPUBLIC WHOLESALE
A J CHEMICAL,335.17,KASOA WHOLESALE
KASOA POLYCLINIC,335.00,AKUKOR FOTO WHOLESALE
COGHAN CHEMICALS,334.45,OKAISHIE WHOLESALE
LIFE DOOR PHARMACY,334.13,MALLAM WHOLESALE
JOYWELL PHARMACY,333.45,OFANKOR WHOLESALE
RICOMONS PHARMACY LTD - RETAIL,333.00,KUMASI WHOLESALE
SAMSED PHARMACY,332.80,KORLE-BU WHOLESALE
PHILRINA PHARMACY LTD,332.27,MALLAM WHOLESALE
ERNEST ADUSEI HERBSL SHOP,332.10,OFANKOR WHOLESALE
AKWEI LAB & CLINIC,330.00,MALLAM WHOLESALE
AR-RAHAMAN SERVICES,330.00,KORLE-BU WHOLESALE
SONOTECH MEDICAL AND DIAGNOSTIC CENTRE,329.98,NANAKROM WHOLESALE
D A CHEMIST,329.07,MALLAM WHOLESALE
MARKET STREET PHARMACY,329.00,OSU WHOLESALE
KIZATO ENTERPRISE,328.99,OKAISHIE WHOLESALE
CRESCENT CHEMIST,328.00,ABEKA WHOLESALE
JEMIKAY CHEMICAL,328.00,OFANKOR WHOLESALE
CYPSER PHARMACY,325.90,OSU WHOLESALE
FRIMPS CHEMIST,324.83,MALLAM WHOLESALE
TORKEL  PHARMACY,324.50,OKAISHIE WHOLESALE
BREAD OF LIFE PHARMACY,324.48,ABEKA WHOLESALE
EMRET PHARMACY,324.40,OKAISHIE WHOLESALE
GEMELS CHEMICALS,324.30,MALLAM WHOLESALE
MEDSTOC LIMITED,324.15,KORLE-BU WHOLESALE
ABADE CHEMICALS,324.00,KASOA WHOLESALE
KOJO ASHONG HEALTH CENTER,323.70,OKAISHIE WHOLESALE
LOUISA LAMPTEY CHEMICALS,323.16,MALLAM WHOLESALE
LIFELINE HOSPITAL,323.04,TANTRA HILL WHOLESALE
C. DANSO CHEMICAL,322.92,DOME WHOLESALE
P6 CHEMICAL SHOP,321.59,DOME WHOLESALE
P2 PHARMACY,320.94,OKAISHIE WHOLESALE
DZOFAM PHARMACY,320.65,OKAISHIE WHOLESALE
TETTEH QUARSHIE HOSPITAL,320.00,ABEKA WHOLESALE
BEMUAH ROYAL HOSPITAL,319.90,ABEKA WHOLESALE
ALLOTEY EMMANUEL CHEMICAL,319.89,MALLAM WHOLESALE
SHALOM CHEMICAL,319.22,KORLE-BU WHOLESALE
SAMINGO PHARMACY,319.18,OKAISHIE WHOLESALE
GIFTY CHEMICAL SHOP,318.00,TANTRA HILL WHOLESALE
PRIMARY CARE PHARMACY,318.00,MALLAM WHOLESALE
TAMAHA PHARMACY,317.20,OKAISHIE WHOLESALE
POKUASE PHARMACY,316.83,OKAISHIE WHOLESALE
INNOTECH INTERNATIONAL,315.00,KORLE-BU WHOLESALE
HILL VIEW CHEMICAL SHOP,313.04,MALLAM WHOLESALE
ABUNDANT GRACE CHEMICALS,312.84,KASOA WHOLESALE
ADUSA - AMANKWA HEALTH LTD,312.60,AKUKOR FOTO WHOLESALE
UGMS GEMP CO 27,312.00,KORLE-BU WHOLESALE
MASHBAB CHEMICAL,311.30,KASOA WHOLESALE
VINARK PHARMA,311.25,OFANKOR WHOLESALE
SMILES  PHARMACY,311.00,TANTRA HILL WHOLESALE
ZAC CHEMICALS,310.80,REPUBLIC WHOLESALE
SALLYVICKS CHEMICAL,310.20,AKUKOR FOTO WHOLESALE
AMSI CHEMICAL,309.95,ABEKA WHOLESALE
SPRINGMED PHARMACY,308.69,ABEKA WHOLESALE
HILLS PHARMACY (WHOLESALE),308.00,AKUKOR FOTO WHOLESALE
TRINITY CLINIC,306.00,OKAISHIE WHOLESALE
JETLINKS PHARMACY,305.53,TANTRA HILL WHOLESALE
KISDEE PHARMA LTD,305.40,REPUBLIC WHOLESALE
